Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,,54,1.42,227,173,76.2,9,12,17,12,31.6,,,,,
Athletic Club,2,38,38,3420,,46,1.21,201,155,77.1,11,12,15,11,28.9,,,,,
Atlético Madrid,3,38,38,3436,,39,1.02,173,136,77.5,13,13,12,12,31.6,,,,,
Barcelona,2,38,38,3420,,35,0.92,138,103,74.6,25,7,6,17,44.7,,,,,
Betis,2,38,38,3420,,52,1.37,226,174,77.0,10,12,16,10,26.3,,,,,
Cádiz,2,38,38,3420,,52,1.37,225,173,76.9,8,12,18,10,26.3,,,,,
Celta Vigo,2,38,38,3421,,33,0.87,156,123,78.8,20,4,14,14,36.8,,,,,
Espanyol,2,38,38,3420,,56,1.47,212,156,73.6,10,11,17,10,26.3,,,,,
Getafe,2,38,38,3420,,49,1.29,219,170,77.6,15,9,14,7,18.4,,,,,
La Coruña,1,38,38,3420,,45,1.18,194,149,76.8,15,10,13,10,26.3,,,,,
Málaga,3,38,38,3420,,68,1.79,246,178,72.4,5,9,24,5,13.2,,,,,
Mallorca,2,38,38,3420,,51,1.34,218,167,76.6,10,13,15,9,23.7,,,,,
Osasuna,2,38,38,3420,,43,1.13,169,126,74.6,21,5,12,16,42.1,,,,,
Racing Sant,2,38,38,3420,,49,1.29,201,152,75.6,9,13,16,8,21.1,,,,,
Real Madrid,2,38,38,3420,,40,1.05,174,134,77.0,20,10,8,15,39.5,,,,,
Real Sociedad,2,38,38,3420,,65,1.71,240,175,72.9,11,7,20,8,21.1,,,,,
Sevilla,2,38,38,3420,,39,1.03,165,126,76.4,20,8,10,11,28.9,,,,,
Valencia,3,38,38,3420,,33,0.87,164,131,79.9,19,12,7,16,42.1,,,,,
Villarreal,2,38,38,3420,,39,1.03,188,149,79.3,14,15,9,9,23.7,,,,,
Zaragoza,2,38,38,3420,,51,1.34,197,146,74.1,10,16,12,8,21.1,,,,,
