Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Albacete,32,26.6,,38,418,,,33,22,31,2,3,93,9,0.87,0.58,1.45,0.82,1.39
Athletic Club,27,25.1,,38,421,,,59,39,56,3,4,98,4,1.55,1.03,2.58,1.47,2.50
Atlético Madrid,26,25.7,,38,418,,,40,24,36,4,5,109,7,1.05,0.63,1.68,0.95,1.58
Barcelona,25,25.5,,38,418,,,71,47,64,7,9,76,2,1.87,1.24,3.11,1.68,2.92
Betis,24,25.9,,38,417,,,61,42,60,1,1,93,7,1.61,1.11,2.71,1.58,2.68
Espanyol,24,26.1,,38,418,,,52,34,45,7,8,77,9,1.37,0.89,2.26,1.18,2.08
Getafe,27,27.3,,38,422,,,36,25,34,2,4,95,4,0.95,0.66,1.61,0.89,1.55
La Coruña,25,28.4,,38,418,,,43,30,39,4,5,93,3,1.13,0.79,1.92,1.03,1.82
Levante,23,27.5,,38,418,,,39,25,37,2,3,86,4,1.03,0.66,1.68,0.97,1.63
Málaga,26,26.8,,38,417,,,40,27,39,1,3,101,9,1.05,0.71,1.76,1.03,1.74
Mallorca,27,25.3,,38,418,,,40,27,37,3,5,88,6,1.05,0.71,1.76,0.97,1.68
Numancia,25,27.7,,38,410,,,29,22,26,3,3,86,6,0.76,0.58,1.34,0.68,1.26
Osasuna,24,26.3,,38,418,,,44,33,42,2,3,106,9,1.16,0.87,2.03,1.11,1.97
Racing Sant,28,25.0,,38,418,,,40,25,39,1,2,108,7,1.05,0.66,1.71,1.03,1.68
Real Madrid,26,27.9,,38,418,,,71,51,67,4,5,105,5,1.87,1.34,3.21,1.76,3.11
Real Sociedad,24,25.9,,38,418,,,46,30,42,4,5,69,4,1.21,0.79,2.00,1.11,1.89
Sevilla,27,26.1,,38,422,,,44,27,41,3,0,108,6,1.16,0.71,1.87,1.08,1.79
Valencia,28,27.5,,38,418,,,53,36,50,3,5,118,6,1.39,0.95,2.34,1.32,2.26
Villarreal,25,25.8,,38,418,,,68,42,59,9,9,83,7,1.79,1.11,2.89,1.55,2.66
Zaragoza,24,25.5,,38,418,,,49,32,46,3,4,99,5,1.29,0.84,2.13,1.21,2.05
