Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Albacete,3,38,38,3420,,56,1.47,277,221,79.8,6,10,22,9,23.7,,,,,
Athletic Club,2,38,38,3420,,54,1.42,250,196,78.4,14,9,15,9,23.7,,,,,
Atlético Madrid,2,38,38,3420,,34,0.89,222,188,84.7,13,11,14,15,39.5,,,,,
Barcelona,3,38,38,3420,,29,0.76,170,141,82.9,25,9,4,20,52.6,,,,,
Betis,2,38,38,3420,,50,1.32,224,174,77.7,16,14,8,8,21.1,,,,,
Espanyol,2,38,38,3400,,46,1.22,232,186,80.2,17,10,11,12,31.6,,,,,
Getafe,3,38,38,3420,,46,1.21,251,205,81.7,12,11,15,13,34.2,,,,,
La Coruña,3,38,38,3420,,50,1.32,260,210,80.8,12,15,11,9,23.7,,,,,
Levante,1,38,38,3420,,58,1.53,278,220,79.1,9,10,19,9,23.7,,,,,
Málaga,2,38,38,3420,,48,1.26,227,179,78.9,15,6,17,11,28.9,,,,,
Mallorca,2,38,38,3420,,63,1.66,272,209,76.8,10,9,19,5,13.2,,,,,
Numancia,3,38,38,3420,,61,1.61,283,222,78.4,6,11,21,5,13.2,,,,,
Osasuna,2,38,38,3420,,65,1.71,280,215,76.8,12,10,16,7,18.4,,,,,
Racing Sant,2,38,38,3420,,58,1.53,264,206,78.0,12,8,18,8,21.1,,,,,
Real Madrid,2,38,38,3420,,32,0.84,200,168,84.0,25,5,8,15,39.5,,,,,
Real Sociedad,2,38,38,3430,,56,1.47,252,196,77.8,13,8,17,8,21.1,,,,,
Sevilla,2,38,38,3330,,41,1.11,225,184,81.8,17,9,12,14,36.8,,,,,
Valencia,2,38,38,3410,,39,1.03,198,159,80.3,14,16,8,12,31.6,,,,,
Villarreal,1,38,38,3420,,37,0.97,184,147,79.9,18,11,9,14,36.8,,,,,
Zaragoza,2,38,38,3420,,57,1.50,239,182,76.2,14,8,16,11,28.9,,,,,
