Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,1,38,38,3420,,37,0.97,171,134,78.4,17,10,11,17,44.7,,,,,
Athletic Club,2,38,38,3440,,57,1.49,174,117,67.2,12,14,12,8,21.1,,,,,
Atlético Madrid,2,38,38,3420,,64,1.68,181,117,64.6,9,11,18,6,15.8,,,,,
Barcelona,2,38,38,3420,,46,1.21,164,118,72.0,19,7,12,14,36.8,,,,,
Betis,2,38,38,3420,,56,1.47,186,130,69.9,11,9,18,11,28.9,,,,,
Celta Vigo,2,38,38,3420,,43,1.13,152,109,71.7,15,8,15,10,26.3,,,,,
Espanyol,2,38,38,3420,,48,1.26,169,121,71.6,12,11,15,7,18.4,,,,,
La Coruña,2,38,38,3412,,44,1.16,151,107,70.9,21,6,11,16,42.1,,,,,
Málaga,2,38,38,3420,,50,1.32,180,130,72.2,11,15,12,11,28.9,,,,,
Mallorca,2,38,38,3380,,45,1.20,177,132,74.6,14,9,15,9,23.7,,,,,
Numancia,2,38,38,3420,,59,1.55,179,120,67.0,11,12,15,11,28.9,,,,,
Oviedo,1,38,38,3420,,60,1.58,202,142,70.3,11,12,15,10,26.3,,,,,
Racing Sant,3,38,38,3413,,50,1.32,188,138,73.4,10,16,12,10,26.3,,,,,
Rayo Vallecano,2,38,38,3510,,53,1.36,191,138,72.3,15,7,16,8,21.1,,,,,
Real Madrid,3,38,38,3420,,48,1.26,197,149,75.6,16,14,8,7,18.4,,,,,
Real Sociedad,2,38,38,3420,,49,1.29,192,143,74.5,11,14,13,8,21.1,,,,,
Sevilla,3,38,38,3420,,65,1.71,184,119,64.7,5,13,20,6,15.8,,,,,
Valencia,2,38,38,3420,,39,1.03,193,154,79.8,18,10,10,12,31.6,,,,,
Valladolid,2,38,38,3420,,44,1.16,188,144,76.6,14,11,13,11,28.9,,,,,
Zaragoza,2,38,38,3419,,40,1.05,163,123,75.5,16,15,7,10,26.3,,,,,
