Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,22,27.2,,38,414,,,40,26,34,6,8,95,7,1.05,0.68,1.74,0.89,1.58
Athletic Club,25,26.4,,38,416,,,47,39,42,5,6,106,3,1.24,1.03,2.26,1.11,2.13
Atlético Madrid,29,25.6,,38,416,,,48,31,44,4,6,122,6,1.26,0.82,2.08,1.16,1.97
Barcelona,22,26.5,,38,418,,,70,46,67,3,4,86,5,1.84,1.21,3.05,1.76,2.97
Betis,24,26.0,,38,418,,,33,19,28,5,6,99,9,0.87,0.50,1.37,0.74,1.24
Celta Vigo,27,26.2,,38,418,,,44,31,42,2,3,125,11,1.16,0.82,1.97,1.11,1.92
Espanyol,23,25.9,,38,417,,,51,29,44,7,7,102,4,1.34,0.76,2.11,1.16,1.92
La Coruña,23,28.4,,38,418,,,64,41,60,4,5,84,9,1.68,1.08,2.76,1.58,2.66
Málaga,23,25.3,,38,418,,,54,40,50,4,5,98,8,1.42,1.05,2.47,1.32,2.37
Mallorca,24,27.2,,38,418,,,51,33,46,5,6,85,6,1.34,0.87,2.21,1.21,2.08
Numancia,24,27.4,,38,417,,,46,24,41,5,7,107,6,1.21,0.63,1.84,1.08,1.71
Oviedo,25,26.4,,38,418,,,44,30,42,2,4,103,2,1.16,0.79,1.95,1.11,1.89
Racing Sant,22,26.2,,38,418,,,52,29,40,12,13,101,7,1.37,0.76,2.13,1.05,1.82
Rayo Vallecano,22,28.0,,38,417,,,49,31,47,2,2,87,5,1.29,0.82,2.11,1.24,2.05
Real Madrid,28,24.6,,38,414,,,56,48,52,4,4,86,7,1.47,1.26,2.74,1.37,2.63
Real Sociedad,26,26.7,,38,420,,,42,28,42,0,0,85,11,1.11,0.74,1.84,1.11,1.84
Sevilla,26,25.6,,38,416,,,42,33,38,4,5,88,6,1.11,0.87,1.97,1.00,1.87
Valencia,23,27.0,,38,418,,,56,38,48,8,9,96,11,1.47,1.00,2.47,1.26,2.26
Valladolid,26,26.7,,38,415,,,35,33,32,3,3,93,4,0.92,0.87,1.79,0.84,1.71
Zaragoza,22,28.3,,38,418,,,59,37,55,4,4,100,4,1.55,0.97,2.53,1.45,2.42
