Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Athletic Club,25,27.7,49.9,38,418,3420,38.0,57,41,54,3,5,0,0,1.50,1.08,2.58,1.42,2.50
Atlético Madrid,25,25.9,48.5,38,418,3420,38.0,62,49,61,1,2,0,0,1.63,1.29,2.92,1.61,2.89
Barcelona,25,28.0,67.1,38,418,3420,38.0,109,79,98,11,18,0,0,2.87,2.08,4.95,2.58,4.66
Betis,29,27.4,46.7,38,418,3420,38.0,34,27,31,3,4,0,0,0.89,0.71,1.61,0.82,1.53
Celta Vigo,27,26.1,56.4,38,418,3420,38.0,51,44,47,4,5,0,0,1.34,1.16,2.50,1.24,2.39
Eibar,28,25.6,45.2,38,418,3420,38.0,48,32,42,6,9,0,0,1.26,0.84,2.11,1.11,1.95
Espanyol,26,24.8,46.2,38,418,3420,38.0,38,29,37,1,3,0,0,1.00,0.76,1.76,0.97,1.74
Getafe,27,26.7,46.1,38,418,3420,38.0,36,32,35,1,2,0,0,0.95,0.84,1.79,0.92,1.76
Granada,28,25.9,44.6,38,418,3420,38.0,45,27,38,7,7,0,0,1.18,0.71,1.89,1.00,1.71
La Coruña,25,28.2,47.1,38,418,3420,38.0,41,30,40,1,1,0,0,1.08,0.79,1.87,1.05,1.84
Las Palmas,27,27.6,54.6,38,418,3420,38.0,42,31,38,4,5,0,0,1.11,0.82,1.92,1.00,1.82
Levante,27,27.2,45.9,38,418,3420,38.0,36,23,35,1,1,0,0,0.95,0.61,1.55,0.92,1.53
Málaga,30,28.0,48.8,38,418,3420,38.0,37,31,35,2,4,0,0,0.97,0.82,1.79,0.92,1.74
Rayo Vallecano,29,28.4,55.6,38,418,3420,38.0,52,36,50,2,3,0,0,1.37,0.95,2.32,1.32,2.26
Real Madrid,24,26.5,57.3,38,418,3420,38.0,108,89,102,6,9,0,0,2.84,2.34,5.18,2.68,5.03
Real Sociedad,27,25.3,51.8,38,418,3420,38.0,44,35,43,1,1,0,0,1.16,0.92,2.08,1.13,2.05
Sevilla,33,26.9,50.0,38,418,3420,38.0,50,36,44,6,7,0,0,1.32,0.95,2.26,1.16,2.11
Sporting Gijón,28,24.5,43.1,38,418,3420,38.0,39,28,38,1,2,0,0,1.03,0.74,1.76,1.00,1.74
Valencia,30,24.7,50.1,38,418,3420,38.0,43,29,39,4,5,0,0,1.13,0.76,1.89,1.03,1.79
Villarreal,26,25.3,45.9,38,418,3420,38.0,42,31,39,3,3,0,0,1.11,0.82,1.92,1.03,1.84
