Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Athletic Club,2,38,38,3420,38.0,45,1.18,136,91,66.9,18,8,12,13,34.2,,,,,
Atlético Madrid,1,38,38,3420,38.0,18,0.47,99,81,81.8,28,4,6,24,63.2,,,,,
Barcelona,2,38,38,3420,38.0,29,0.76,124,95,76.6,29,4,5,18,47.4,,,,,
Betis,2,38,38,3420,38.0,52,1.37,182,130,71.4,11,12,15,12,31.6,,,,,
Celta Vigo,2,38,38,3414,38.0,59,1.56,155,96,61.9,17,9,12,10,26.3,,,,,
Eibar,2,38,38,3420,38.0,61,1.61,153,92,60.1,11,10,17,7,18.4,,,,,
Espanyol,2,38,38,3420,38.0,74,1.95,176,102,58.0,12,7,19,7,18.4,,,,,
Getafe,1,38,38,3420,38.0,67,1.76,188,121,64.4,9,9,20,7,18.4,,,,,
Granada,2,38,38,3419,38.0,69,1.82,175,106,60.6,10,9,19,4,10.5,,,,,
La Coruña,3,38,38,3419,38.0,61,1.61,150,89,59.3,8,18,12,7,18.4,,,,,
Las Palmas,2,38,38,3420,38.0,53,1.39,183,130,71.0,12,8,18,11,28.9,,,,,
Levante,2,38,38,3420,38.0,70,1.84,181,111,61.3,8,8,22,6,15.8,,,,,
Málaga,2,38,38,3420,38.0,35,0.92,109,74,67.9,12,12,14,12,31.6,,,,,
Rayo Vallecano,3,38,38,3420,38.0,73,1.92,190,117,61.6,9,11,18,6,15.8,,,,,
Real Madrid,2,38,38,3420,38.0,34,0.89,109,75,68.8,28,6,4,14,36.8,,,,,
Real Sociedad,2,38,38,3420,38.0,48,1.26,155,107,69.0,13,9,16,13,34.2,,,,,
Sevilla,2,38,38,3420,38.0,50,1.32,169,119,70.4,14,10,14,11,28.9,,,,,
Sporting Gijón,2,38,38,3420,38.0,62,1.63,203,141,69.5,10,9,19,7,18.4,,,,,
Valencia,3,38,38,3420,38.0,48,1.26,162,114,70.4,11,11,16,7,18.4,,,,,
Villarreal,3,38,38,3420,38.0,35,0.92,127,92,72.4,18,10,10,17,44.7,,,,,
