Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,2,38,38,3420,,42,1.11,159,117,73.6,14,10,14,13,34.2,,,,,
Athletic Club,3,38,38,3402,,43,1.14,168,125,74.4,13,11,14,11,28.9,,,,,
Atlético Madrid,2,38,38,3420,,47,1.24,173,126,72.8,19,7,12,16,42.1,,,,,
Barcelona,2,38,38,3420,,43,1.13,149,106,71.1,19,10,9,14,36.8,,,,,
Betis,3,38,38,3420,,47,1.24,192,145,75.5,12,11,15,8,21.1,,,,,
Espanyol,3,38,38,3420,,53,1.39,192,139,72.4,13,9,16,8,21.1,,,,,
Getafe,2,38,38,3406,,47,1.24,177,130,73.4,12,11,15,12,31.6,,,,,
La Coruña,3,38,38,3420,,47,1.24,157,110,70.1,15,7,16,12,31.6,,,,,
Levante,3,38,38,3420,,75,1.97,217,142,65.4,7,5,26,4,10.5,,,,,
Mallorca,2,38,38,3418,,54,1.42,171,117,68.4,15,14,9,7,18.4,,,,,
Osasuna,2,38,38,3370,,44,1.18,153,109,71.2,12,7,19,11,28.9,,,,,
Racing Sant,2,38,38,3406,,41,1.08,151,110,72.8,17,9,12,18,47.4,,,,,
Real Madrid,3,38,38,3420,,36,0.95,173,137,79.2,27,4,7,14,36.8,,,,,
Real Murcia,3,38,38,3420,,65,1.71,229,164,71.6,7,9,22,8,21.1,,,,,
Recreativo,1,38,38,3420,,60,1.58,177,117,66.1,11,11,16,8,21.1,,,,,
Sevilla,2,38,38,3420,,49,1.29,159,110,69.2,20,4,14,11,28.9,,,,,
Valencia,3,38,38,3420,,62,1.63,206,144,69.9,15,6,17,9,23.7,,,,,
Valladolid,3,38,38,3404,,57,1.51,186,129,69.4,11,12,15,11,28.9,,,,,
Villarreal,2,38,38,3346,,40,1.08,152,112,73.7,24,5,9,18,47.4,,,,,
Zaragoza,2,38,38,3420,,61,1.61,185,124,67.0,10,12,16,7,18.4,,,,,
