Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,23,25.6,,38,418,,,41,19,37,4,7,116,8,1.08,0.50,1.58,0.97,1.47
Athletic Club,29,25.7,,38,417,,,39,18,37,2,4,118,7,1.03,0.47,1.50,0.97,1.45
Atlético Madrid,24,26.2,,38,418,,,65,30,62,3,4,117,7,1.71,0.79,2.50,1.63,2.42
Barcelona,26,26.8,,38,418,,,76,43,70,6,6,81,5,2.00,1.13,3.13,1.84,2.97
Betis,29,26.3,,38,418,,,43,23,39,4,5,99,4,1.13,0.61,1.74,1.03,1.63
Espanyol,26,24.9,,38,418,,,41,26,35,6,7,109,4,1.08,0.68,1.76,0.92,1.61
Getafe,27,26.9,,38,418,,,42,23,38,4,6,88,9,1.11,0.61,1.71,1.00,1.61
La Coruña,31,25.9,,38,418,,,44,21,37,7,8,78,5,1.16,0.55,1.71,0.97,1.53
Levante,29,27.9,,38,418,,,33,19,30,3,5,98,2,0.87,0.50,1.37,0.79,1.29
Mallorca,25,27.3,,38,418,,,69,40,65,4,4,87,10,1.82,1.05,2.87,1.71,2.76
Osasuna,27,25.8,,38,418,,,36,20,34,2,3,111,10,0.95,0.53,1.47,0.89,1.42
Racing Sant,26,27.4,,38,418,,,42,23,40,2,5,90,8,1.11,0.61,1.71,1.05,1.66
Real Madrid,25,25.9,,38,418,,,83,50,77,6,6,95,6,2.18,1.32,3.50,2.03,3.34
Real Murcia,29,27.7,,38,418,,,35,20,29,6,6,116,6,0.92,0.53,1.45,0.76,1.29
Recreativo,25,26.6,,38,418,,,39,19,39,0,1,121,11,1.03,0.50,1.53,1.03,1.53
Sevilla,31,26.2,,38,418,,,71,38,67,4,6,98,9,1.87,1.00,2.87,1.76,2.76
Valencia,29,26.3,,38,418,,,46,23,43,3,3,97,8,1.21,0.61,1.82,1.13,1.74
Valladolid,27,27.8,,38,418,,,42,19,39,3,4,78,7,1.11,0.50,1.61,1.03,1.53
Villarreal,24,27.3,,38,418,,,62,34,52,10,11,88,3,1.63,0.89,2.53,1.37,2.26
Zaragoza,25,28.0,,38,418,,,47,24,42,5,6,115,8,1.24,0.63,1.87,1.11,1.74
