Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Athletic Club,25,25.4,,38,418,,,44,38,43,1,2,120,9,1.16,1.00,2.16,1.13,2.13
Atlético Madrid,27,25.9,,38,418,,,63,37,55,8,8,102,5,1.66,0.97,2.63,1.45,2.42
Barcelona,25,26.6,,38,418,,,112,91,108,4,5,57,2,2.95,2.39,5.34,2.84,5.24
Betis,33,26.8,,38,418,,,55,41,52,3,4,118,7,1.45,1.08,2.53,1.37,2.45
Celta Vigo,28,26.9,,38,418,,,37,27,34,3,3,102,4,0.97,0.71,1.68,0.89,1.61
Espanyol,25,26.5,,38,418,,,42,32,38,4,4,150,11,1.11,0.84,1.95,1.00,1.84
Getafe,27,26.9,,38,418,,,43,31,39,4,4,114,9,1.13,0.82,1.95,1.03,1.84
Granada,28,26.9,,38,418,,,35,18,28,7,8,103,5,0.92,0.47,1.39,0.74,1.21
La Coruña,28,28.8,,38,418,,,45,26,41,4,6,103,8,1.18,0.68,1.87,1.08,1.76
Levante,27,29.2,,38,418,,,39,22,36,3,5,113,7,1.03,0.58,1.61,0.95,1.53
Málaga,28,27.9,,38,418,,,52,37,48,4,5,93,6,1.37,0.97,2.34,1.26,2.24
Mallorca,29,26.9,,38,418,,,43,23,41,2,3,103,8,1.13,0.61,1.74,1.08,1.68
Osasuna,30,27.6,,38,418,,,33,24,32,1,1,115,10,0.87,0.63,1.50,0.84,1.47
Rayo Vallecano,29,26.6,,38,418,,,49,30,42,7,7,139,4,1.29,0.79,2.08,1.11,1.89
Real Madrid,31,26.9,,38,418,,,100,71,92,8,10,93,5,2.63,1.87,4.50,2.42,4.29
Real Sociedad,22,25.3,,38,418,,,68,49,61,7,7,96,2,1.79,1.29,3.08,1.61,2.89
Sevilla,30,26.7,,38,418,,,56,36,51,5,7,99,12,1.47,0.95,2.42,1.34,2.29
Valencia,23,26.4,,38,418,,,65,48,59,6,7,124,8,1.71,1.26,2.97,1.55,2.82
Valladolid,23,27.3,,38,418,,,48,32,43,5,6,80,3,1.26,0.84,2.11,1.13,1.97
Zaragoza,33,26.9,,38,418,,,37,23,29,8,8,128,11,0.97,0.61,1.58,0.76,1.37
