Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Real Madrid,38,26,10,2,107,38,+69,62,,Hugo Sánchez - 38,,→ European Cup via league finish
2,Valencia,38,20,13,5,67,42,+25,53,,Lyuboslav Penev Fernando Gómez Colomer - 13,,→ UEFA Cup via league finish
3,Barcelona,38,23,5,10,83,39,+44,51,,Julio Salinas - 15,,→ European Cup Winners' Cup via cup win
4,Atlético Madrid,38,20,10,8,55,35,+20,50,,Baltazar Maria de Morais Júnior - 18,,→ UEFA Cup via league finish
5,Real Sociedad,38,15,14,9,43,35,+8,44,,John Aldridge - 16,,→ UEFA Cup via league finish
6,Sevilla,38,18,7,13,64,46,+18,43,,Toni Polster - 33,,→ UEFA Cup via league finish
7,CD Logroñés,38,18,5,15,47,51,-4,41,,Manuel Sarabia - 12,,
8,Osasuna,38,14,12,12,42,42,0,40,,Cuco Ziganda - 11,,
9,Zaragoza,38,16,8,14,52,52,0,40,,Miguel Pardeza - 15,,
10,Mallorca,38,11,17,10,36,34,+2,39,,Miguel Ángel Nadal - 7,,
11,Oviedo,38,12,15,11,41,46,-5,39,,Carlos Muñoz Cobo - 14,,
12,Athletic Club,38,11,15,12,37,39,-2,37,,Loren Pedro Uralde - 6,,
13,Sporting Gijón,38,12,10,16,37,34,+3,34,,Narciso Rodríguez - 11,,
14,Castellón,38,9,14,15,30,48,-18,32,,Raúl Cruselles - 7,,
15,Cádiz,38,12,6,20,28,63,-35,30,,Armando Husillos - 6,,
16,Valladolid,38,8,14,16,31,41,-10,30,,Janko Janković - 10,,
17,CD Málaga,38,9,10,19,23,50,-27,28,,José Francisco Sánchez González - 8,,→ Spanish 1/2 Relegation/Promotion Play-offs
18,Tenerife,38,8,10,20,42,60,-18,26,,Quique Estebaranz Rommel Fernández - 10,,→ Spanish 1/2 Relegation/Promotion Play-offs
19,Celta Vigo,38,5,12,21,24,51,-27,22,,José Luis Mosquera - 6,,Relegated
20,Rayo Vallecano,38,6,7,25,32,75,-43,19,,Juan Sabas - 6,,Relegated
