Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,27,26.1,46.4,38,418,3420,38.0,33,22,28,5,6,0,0,0.87,0.58,1.45,0.74,1.32
Athletic Club,26,26.8,53.2,38,418,3420,38.0,41,26,36,5,5,0,0,1.08,0.68,1.76,0.95,1.63
Atlético Madrid,25,27.5,48.6,38,418,3420,38.0,65,48,60,5,6,0,0,1.71,1.26,2.97,1.58,2.84
Barcelona,24,27.7,65.7,38,418,3420,38.0,107,79,101,6,7,0,0,2.82,2.08,4.89,2.66,4.74
Celta Vigo,23,26.3,55.9,38,418,3420,38.0,47,33,43,4,6,0,0,1.24,0.87,2.11,1.13,2.00
Córdoba,33,25.7,45.9,38,418,3420,38.0,21,12,19,2,3,0,0,0.55,0.32,0.87,0.50,0.82
Eibar,23,27.6,43.8,38,418,3420,38.0,33,25,31,2,2,0,0,0.87,0.66,1.53,0.82,1.47
Elche,24,26.3,47.9,38,418,3420,38.0,35,25,31,4,7,0,0,0.92,0.66,1.58,0.82,1.47
Espanyol,27,26.9,46.0,38,418,3420,38.0,47,29,43,4,4,0,0,1.24,0.76,2.00,1.13,1.89
Getafe,27,26.9,46.9,38,418,3420,38.0,32,25,31,1,2,0,0,0.84,0.66,1.50,0.82,1.47
Granada,34,26.6,47.4,38,418,3420,38.0,29,17,23,6,6,0,0,0.76,0.45,1.21,0.61,1.05
La Coruña,27,26.9,48.4,38,418,3420,38.0,33,17,29,4,7,0,0,0.87,0.45,1.32,0.76,1.21
Levante,29,28.0,44.5,38,418,3420,38.0,34,22,31,3,4,0,0,0.89,0.58,1.47,0.82,1.39
Málaga,23,26.6,49.5,38,418,3420,38.0,40,27,36,4,7,0,0,1.05,0.71,1.76,0.95,1.66
Rayo Vallecano,28,27.2,54.8,38,418,3420,38.0,46,33,44,2,3,0,0,1.21,0.87,2.08,1.16,2.03
Real Madrid,24,26.4,56.2,38,418,3420,38.0,116,91,105,11,13,0,0,3.05,2.39,5.45,2.76,5.16
Real Sociedad,25,26.5,49.8,38,418,3420,38.0,41,35,38,3,3,0,0,1.08,0.92,2.00,1.00,1.92
Sevilla,26,26.2,50.3,38,418,3420,38.0,68,45,60,8,10,0,0,1.79,1.18,2.97,1.58,2.76
Valencia,24,24.8,50.0,38,418,3420,38.0,66,48,61,5,7,0,0,1.74,1.26,3.00,1.61,2.87
Villarreal,28,25.0,48.6,38,418,3420,38.0,48,34,46,2,2,0,0,1.26,0.89,2.16,1.21,2.11
