Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Real Madrid,38,25,12,1,91,37,+54,62,,Hugo Sánchez - 27,,→ European Cup via league finish
2,Barcelona,38,23,11,4,80,26,+54,57,,Julio Salinas - 20,,→ European Cup Winners' Cup
3,Valencia,38,18,13,7,39,26,+13,49,,Fernando Gómez Colomer - 14,,→ UEFA Cup via league finish
4,Atlético Madrid,38,19,8,11,69,45,+24,46,,Baltazar Maria de Morais Júnior - 35,,→ UEFA Cup via league finish
5,Zaragoza,38,15,13,10,48,42,+6,43,,Juan Crespín - 8,,→ UEFA Cup via league finish
6,Valladolid,38,18,7,13,40,31,+9,43,,Janko Janković - 8,,→ European Cup Winners' Cup via cup loss
7,Athletic Club,38,15,12,11,45,35,+10,42,,Pedro Uralde - 13,,
8,Celta Vigo,38,14,11,13,42,48,-6,39,,Amarildo Souza do Amaral - 16,,
9,Sevilla,38,13,12,13,38,39,-1,38,,Ramón Vázquez García - 10,,
10,Osasuna,38,13,11,14,39,43,-4,37,,Cuco Ziganda - 7,,
11,Real Sociedad,38,11,14,13,38,47,-9,36,,Mikel Loinaz - 8,,
12,Oviedo,38,12,11,15,41,48,-7,35,,José Manuel de la Torre - 8,,
13,Sporting Gijón,38,13,9,16,42,42,0,35,,Joaquín - 10,,
14,CD Logroñés,38,9,16,13,25,37,-12,34,,Antonio Alzamendi - 9,,
15,Cádiz,38,9,15,14,31,41,-10,33,,Mágico González - 8,,
16,CD Málaga,38,12,9,17,39,53,-14,33,,José Francisco Sánchez González - 8,,
17,Espanyol,38,7,16,15,29,44,-15,30,,Michel Pineda - 5,,→ Spanish 1/2 Relegation/Promotion Play-offs
18,Real Betis,38,9,11,18,36,55,-19,29,,Hipólito Rincón - 8,,→ Spanish 1/2 Relegation/Promotion Play-offs
19,Real Murcia,38,9,6,23,27,58,-31,24,,José Mejías - 8,,Relegated
20,Elche,38,4,7,27,29,71,-42,15,,Luiso Saavedra Claudio Barragán - 7,,Relegated
