Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,23,25.6,,38,417,,,40,21,38,2,3,98,7,1.05,0.55,1.61,1.00,1.55
Athletic Club,29,25.2,,38,418,,,48,24,43,5,10,91,10,1.26,0.63,1.89,1.13,1.76
Atlético Madrid,31,26.0,,38,418,,,56,27,53,3,5,87,7,1.47,0.71,2.18,1.39,2.11
Barcelona,24,26.3,,38,418,,,95,56,92,3,3,74,5,2.50,1.47,3.97,2.42,3.89
Espanyol,28,25.0,,38,417,,,29,15,29,0,0,108,8,0.76,0.39,1.16,0.76,1.16
Getafe,23,26.4,,38,418,,,57,29,51,6,6,108,4,1.50,0.76,2.26,1.34,2.11
La Coruña,28,27.5,,38,418,,,34,15,31,3,3,64,6,0.89,0.39,1.29,0.82,1.21
Málaga,30,26.5,,38,418,,,41,20,41,0,0,131,10,1.08,0.53,1.61,1.08,1.61
Mallorca,24,27.7,,38,418,,,57,29,53,4,6,96,4,1.50,0.76,2.26,1.39,2.16
Osasuna,25,28.2,,38,418,,,36,20,34,2,3,81,9,0.95,0.53,1.47,0.89,1.42
Racing Sant,29,26.6,,38,418,,,42,23,38,4,4,100,7,1.11,0.61,1.71,1.00,1.61
Real Madrid,25,25.1,,38,418,,,102,53,95,7,8,87,5,2.68,1.39,4.08,2.50,3.89
Sevilla,30,27.5,,38,417,,,63,30,58,5,5,99,10,1.66,0.79,2.45,1.53,2.32
Sporting Gijón,26,26.5,,38,417,,,35,18,31,4,6,95,6,0.92,0.47,1.39,0.82,1.29
Tenerife,22,27.2,,38,418,,,39,17,37,2,4,89,4,1.03,0.45,1.47,0.97,1.42
Valencia,27,26.9,,38,418,,,59,32,56,3,3,107,8,1.55,0.84,2.39,1.47,2.32
Valladolid,30,26.4,,38,417,,,35,17,33,2,2,97,11,0.92,0.45,1.37,0.87,1.32
Villarreal,25,27.5,,38,418,,,58,28,58,0,0,90,11,1.53,0.74,2.26,1.53,2.26
Xerez,24,26.3,,38,418,,,38,21,36,2,3,97,14,1.00,0.55,1.55,0.95,1.50
Zaragoza,33,27.1,,38,418,,,45,19,41,4,5,125,6,1.18,0.50,1.68,1.08,1.58
