Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,38.0,43,1.13,177,134,78.0,14,13,11,12,31.6,6,4,2,0,33.3
Athletic Club,2,38,38,3420,38.0,43,1.13,131,88,67.9,19,6,13,10,26.3,3,1,2,0,66.7
Atlético Madrid,2,38,38,3420,38.0,27,0.71,124,97,80.6,23,9,6,20,52.6,4,3,1,0,25.0
Barcelona,3,38,38,3420,38.0,37,0.97,171,134,78.4,28,6,4,13,34.2,0,0,0,0,
Betis,2,38,38,3420,38.0,64,1.68,202,138,70.3,10,9,19,10,26.3,5,4,1,0,20.0
Celta Vigo,3,38,38,3420,38.0,69,1.82,210,141,71.4,13,6,19,7,18.4,10,9,0,1,0.0
Eibar,3,38,38,3421,38.0,51,1.34,179,128,74.3,15,9,14,10,26.3,6,5,1,0,16.7
Espanyol,2,38,38,3420,38.0,50,1.32,176,126,72.7,15,11,12,11,28.9,2,2,0,0,0.0
Granada,1,38,38,3420,38.0,82,2.16,268,186,70.1,4,8,26,3,7.9,4,2,1,1,33.3
La Coruña,3,38,38,3420,38.0,61,1.61,178,117,67.4,8,12,18,9,23.7,3,3,0,0,0.0
Las Palmas,2,38,38,3420,38.0,75,1.97,197,122,67.5,10,9,19,5,13.2,11,11,0,0,0.0
Leganés,5,38,38,3420,38.0,55,1.45,153,98,68.0,8,11,19,11,28.9,7,6,1,0,14.3
Málaga,2,38,38,3420,38.0,55,1.45,163,108,69.9,12,10,16,8,21.1,7,6,1,0,14.3
Osasuna,4,38,38,3420,38.0,94,2.47,217,123,58.5,4,10,24,2,5.3,8,4,3,1,42.9
Real Madrid,2,38,38,3420,38.0,41,1.08,152,111,74.3,29,6,3,10,26.3,4,2,1,1,33.3
Real Sociedad,1,38,38,3420,38.0,53,1.39,166,113,70.5,19,7,12,10,26.3,7,4,1,2,20.0
Sevilla,3,38,38,3418,38.0,48,1.26,172,124,74.4,21,9,8,13,34.2,5,4,1,0,20.0
Sporting Gijón,2,38,38,3420,38.0,72,1.89,214,142,69.6,7,10,21,7,18.4,9,7,2,0,22.2
Valencia,3,38,38,3420,38.0,65,1.71,182,117,67.6,13,7,18,7,18.4,13,6,5,2,45.5
Villarreal,2,38,38,3420,38.0,33,0.87,165,132,83.0,19,10,9,16,42.1,6,5,1,0,16.7
