Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,25,25.4,44.4,38,418,3420,38.0,41,25,37,4,4,0,3,1.08,0.66,1.74,0.97,1.63
Athletic Club,25,26.8,51.1,38,418,3420,38.0,53,34,45,8,8,0,1,1.39,0.89,2.29,1.18,2.08
Atlético Madrid,22,26.9,48.4,38,418,3420,38.0,70,55,68,2,8,0,3,1.84,1.45,3.29,1.79,3.24
Barcelona,25,26.9,66.1,38,418,3420,38.0,113,70,105,8,9,0,1,2.97,1.84,4.82,2.76,4.61
Betis,27,26.1,47.9,38,418,3420,38.0,41,28,39,2,2,0,3,1.08,0.74,1.82,1.03,1.76
Celta Vigo,27,26.1,53.2,38,418,3420,38.0,52,36,45,7,7,0,6,1.37,0.95,2.32,1.18,2.13
Eibar,24,26.9,47.8,38,418,3420,38.0,53,35,47,6,7,0,2,1.39,0.92,2.32,1.24,2.16
Espanyol,27,27.2,44.0,38,418,3420,38.0,48,33,46,2,4,0,2,1.26,0.87,2.13,1.21,2.08
Granada,34,24.7,45.1,38,418,3420,38.0,30,19,30,0,1,0,4,0.79,0.50,1.29,0.79,1.29
La Coruña,28,27.7,47.0,38,418,3420,38.0,42,27,39,3,7,0,2,1.11,0.71,1.82,1.03,1.74
Las Palmas,29,27.3,59.0,38,418,3420,38.0,52,36,46,6,6,0,4,1.37,0.95,2.32,1.21,2.16
Leganés,31,26.3,44.7,38,418,3420,38.0,36,25,33,3,3,0,1,0.95,0.66,1.61,0.87,1.53
Málaga,29,26.0,48.4,38,418,3420,38.0,48,32,45,3,5,0,5,1.26,0.84,2.11,1.18,2.03
Osasuna,34,26.3,39.0,38,418,3420,38.0,37,22,33,4,6,0,1,0.97,0.58,1.55,0.87,1.45
Real Madrid,24,27.0,56.2,38,418,3420,38.0,105,75,99,6,7,0,0,2.76,1.97,4.74,2.61,4.58
Real Sociedad,27,26.0,56.7,38,418,3420,38.0,56,40,49,7,8,0,5,1.47,1.05,2.53,1.29,2.34
Sevilla,28,26.8,59.2,38,418,3420,38.0,67,44,64,3,5,0,2,1.76,1.16,2.92,1.68,2.84
Sporting Gijón,29,26.4,44.4,38,418,3420,38.0,42,25,38,4,7,0,2,1.11,0.66,1.76,1.00,1.66
Valencia,31,25.9,48.8,38,418,3420,38.0,53,34,49,4,6,0,3,1.39,0.89,2.29,1.29,2.18
Villarreal,27,26.7,49.3,38,418,3420,38.0,55,35,49,6,8,0,1,1.45,0.92,2.37,1.29,2.21
