Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,,59,1.55,196,137,69.9,14,7,17,9,23.7,,,,,
Athletic Club,2,38,38,3420,,60,1.58,185,125,67.6,11,10,17,8,21.1,,,,,
Barcelona,3,38,38,3375,,56,1.49,192,136,70.8,17,12,9,10,26.3,,,,,
Celta Vigo,2,38,38,3420,,49,1.29,165,116,70.3,16,11,11,9,23.7,,,,,
Espanyol,2,38,38,3330,,44,1.19,187,143,76.5,14,8,16,12,31.6,,,,,
La Coruña,2,38,38,3416,,44,1.16,170,126,74.1,22,7,9,12,31.6,,,,,
Las Palmas,3,38,38,3420,,62,1.63,203,141,69.5,13,7,18,9,23.7,,,,,
Málaga,2,38,38,3420,,61,1.61,226,165,73.0,16,8,14,8,21.1,,,,,
Mallorca,4,38,38,3420,,43,1.13,163,120,73.6,20,11,7,10,26.3,,,,,
Numancia,2,38,38,3420,,64,1.68,222,158,71.2,10,9,19,7,18.4,,,,,
Osasuna,2,38,38,3420,,54,1.42,178,124,69.7,10,12,16,8,21.1,,,,,
Oviedo,1,38,38,3420,,67,1.76,238,171,71.8,11,8,19,8,21.1,,,,,
Racing Sant,2,38,38,3420,,62,1.63,198,136,68.7,10,9,19,6,15.8,,,,,
Rayo Vallecano,2,38,38,3420,,68,1.79,237,169,71.3,10,13,15,4,10.5,,,,,
Real Madrid,2,38,38,3420,,40,1.05,176,136,77.3,24,8,6,14,36.8,,,,,
Real Sociedad,2,38,38,3420,,68,1.79,196,128,65.3,11,10,17,4,10.5,,,,,
Valencia,2,38,38,3420,,34,0.89,164,130,79.3,18,9,11,15,39.5,,,,,
Valladolid,2,38,38,3420,,50,1.32,185,135,73.0,9,15,14,11,28.9,,,,,
Villarreal,2,38,38,3420,,52,1.37,168,116,69.0,16,9,13,12,31.6,,,,,
Zaragoza,2,38,38,3420,,57,1.50,195,138,70.8,9,15,14,4,10.5,,,,,
