Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,22,27.5,,38,416,,,55,36,47,8,9,113,5,1.45,0.95,2.39,1.24,2.18
Athletic Club,24,26.0,,38,418,,,44,27,40,4,5,117,11,1.16,0.71,1.87,1.05,1.76
Barcelona,23,26.4,,38,418,,,79,46,74,5,6,94,9,2.08,1.21,3.29,1.95,3.16
Celta Vigo,24,27.1,,38,418,,,49,29,44,5,5,125,11,1.29,0.76,2.05,1.16,1.92
Espanyol,28,25.8,,38,416,,,44,27,40,4,5,87,5,1.16,0.71,1.87,1.05,1.76
La Coruña,23,28.3,,38,417,,,73,40,69,4,6,104,7,1.92,1.05,2.97,1.82,2.87
Las Palmas,29,26.6,,38,418,,,42,24,37,5,6,121,9,1.11,0.63,1.74,0.97,1.61
Málaga,25,27.0,,38,418,,,60,36,56,4,4,97,6,1.58,0.95,2.53,1.47,2.42
Mallorca,27,28.2,,38,418,,,59,40,58,1,3,98,5,1.55,1.05,2.61,1.53,2.58
Numancia,25,27.3,,38,418,,,38,27,34,4,4,107,5,1.00,0.71,1.71,0.89,1.61
Osasuna,27,26.9,,38,418,,,40,25,36,4,8,95,3,1.05,0.66,1.71,0.95,1.61
Oviedo,27,25.0,,38,417,,,51,32,49,2,4,113,6,1.34,0.84,2.18,1.29,2.13
Racing Sant,28,27.2,,38,418,,,47,22,43,4,4,97,6,1.24,0.58,1.82,1.13,1.71
Rayo Vallecano,23,28.2,,38,418,,,54,31,49,5,6,109,9,1.42,0.82,2.24,1.29,2.11
Real Madrid,23,25.8,,38,418,,,78,50,74,4,8,78,2,2.05,1.32,3.37,1.95,3.26
Real Sociedad,30,26.6,,38,418,,,51,28,42,9,9,99,12,1.34,0.74,2.08,1.11,1.84
Valencia,24,27.6,,38,418,,,53,39,47,6,9,118,7,1.39,1.03,2.42,1.24,2.26
Valladolid,24,26.2,,38,418,,,41,26,36,5,6,110,6,1.08,0.68,1.76,0.95,1.63
Villarreal,24,26.5,,38,422,,,57,29,54,3,3,122,10,1.50,0.76,2.26,1.42,2.18
Zaragoza,25,28.3,,38,419,,,53,37,51,2,3,86,6,1.39,0.97,2.37,1.34,2.32
