Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Athletic Club,2,38,38,3420,,62,1.63,244,182,74.6,10,10,18,11,28.9,,,,,
Atlético Madrid,2,38,38,3420,,39,1.03,183,144,78.7,17,9,12,13,34.2,,,,,
Barcelona,1,38,38,3420,,33,0.87,132,99,75.0,22,10,6,15,39.5,,,,,
Betis,2,38,38,3420,,49,1.29,206,157,76.2,8,16,14,10,26.3,,,,,
Celta Vigo,2,38,38,3420,,59,1.55,245,186,75.9,10,9,19,5,13.2,,,,,
Espanyol,2,38,38,3420,,53,1.39,201,148,73.6,12,13,13,9,23.7,,,,,
Getafe,2,38,38,3420,,33,0.87,162,129,79.6,14,10,14,15,39.5,,,,,
Gimnàstic,2,38,38,3420,,69,1.82,269,200,74.3,7,7,24,8,21.1,,,,,
La Coruña,1,38,38,3420,,45,1.18,182,137,75.3,12,11,15,16,42.1,,,,,
Levante,2,38,38,3420,,53,1.39,217,164,75.6,10,12,16,11,28.9,,,,,
Mallorca,2,38,38,3420,,47,1.24,185,138,74.6,14,7,17,12,31.6,,,,,
Osasuna,2,38,38,3420,,49,1.29,190,141,74.2,13,7,18,9,23.7,,,,,
Racing Sant,2,38,38,3420,,48,1.26,168,120,71.4,12,14,12,13,34.2,,,,,
Real Madrid,1,38,38,3420,,40,1.05,159,119,74.8,23,7,8,11,28.9,,,,,
Real Sociedad,2,38,38,3420,,47,1.24,222,175,78.8,8,11,19,9,23.7,,,,,
Recreativo,2,38,38,3420,,52,1.37,177,125,70.6,15,9,14,11,28.9,,,,,
Sevilla,2,38,38,3420,,35,0.92,162,127,78.4,21,8,9,14,36.8,,,,,
Valencia,2,38,38,3420,,42,1.11,147,105,71.4,20,6,12,14,36.8,,,,,
Villarreal,2,38,38,3420,,44,1.16,172,128,74.4,18,8,12,13,34.2,,,,,
Zaragoza,1,38,38,3420,,43,1.13,211,168,79.6,16,12,10,13,34.2,,,,,
