Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Athletic Club,25,25.7,,38,418,,,42,27,36,6,7,90,7,1.11,0.71,1.82,0.95,1.66
Atlético Madrid,24,25.4,,38,418,,,44,33,38,6,10,113,10,1.16,0.87,2.03,1.00,1.87
Barcelona,21,27.3,,38,418,,,76,45,69,7,8,78,7,2.00,1.18,3.18,1.82,3.00
Betis,29,26.8,,38,417,,,36,24,31,5,8,97,10,0.95,0.63,1.58,0.82,1.45
Celta Vigo,25,26.9,,38,418,,,40,27,33,7,8,103,11,1.05,0.71,1.76,0.87,1.58
Espanyol,26,25.3,,38,417,,,46,31,43,3,3,103,7,1.21,0.82,2.03,1.13,1.95
Getafe,24,28.2,,38,418,,,39,29,38,1,3,94,5,1.03,0.76,1.79,1.00,1.76
Gimnàstic,29,27.5,,38,419,,,33,22,29,4,4,90,6,0.87,0.58,1.45,0.76,1.34
La Coruña,25,25.6,,38,418,,,31,18,28,3,4,115,11,0.82,0.47,1.29,0.74,1.21
Levante,27,29.4,,38,418,,,36,26,34,2,3,116,13,0.95,0.68,1.63,0.89,1.58
Mallorca,23,26.9,,38,418,,,41,24,40,1,2,99,5,1.08,0.63,1.71,1.05,1.68
Osasuna,26,25.9,,38,418,,,50,33,46,4,4,109,5,1.32,0.87,2.18,1.21,2.08
Racing Sant,24,26.3,,38,418,,,39,26,30,9,11,121,8,1.03,0.68,1.71,0.79,1.47
Real Madrid,25,27.0,,38,418,,,66,43,64,2,3,117,10,1.74,1.13,2.87,1.68,2.82
Real Sociedad,30,26.5,,38,418,,,31,19,28,3,5,93,4,0.82,0.50,1.32,0.74,1.24
Recreativo,23,27.1,,38,418,,,52,31,47,5,8,66,3,1.37,0.82,2.18,1.24,2.05
Sevilla,24,27.0,,38,417,,,63,39,56,7,11,101,8,1.66,1.03,2.68,1.47,2.50
Valencia,28,26.9,,38,418,,,57,38,53,4,5,104,8,1.50,1.00,2.50,1.39,2.39
Villarreal,27,27.2,,38,418,,,47,32,45,2,2,99,4,1.24,0.84,2.08,1.18,2.03
Zaragoza,21,26.5,,38,418,,,54,34,50,4,5,108,7,1.42,0.89,2.32,1.32,2.21
