Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,38.0,51,1.34,177,136,75.1,15,2,21,0,0.0,11,7,3,1,30.0
Athletic Club,2,38,38,3420,38.0,49,1.29,161,118,71.4,10,13,15,0,0.0,6,3,3,0,50.0
Atlético Madrid,2,38,38,3420,38.0,22,0.58,129,109,83.7,23,10,5,0,0.0,4,1,3,0,75.0
Barcelona,2,38,38,3420,38.0,29,0.76,136,109,80.1,28,9,1,0,0.0,2,2,0,0,0.0
Betis,3,38,38,3420,38.0,61,1.61,153,99,62.1,18,6,14,0,0.0,4,3,1,0,25.0
Celta Vigo,2,38,38,3420,38.0,60,1.58,167,112,66.5,13,10,15,0,0.0,5,4,0,1,0.0
Eibar,3,38,38,3420,38.0,51,1.34,130,88,63.8,14,9,15,0,0.0,4,4,0,0,0.0
Espanyol,2,38,38,3420,38.0,42,1.11,166,130,77.1,12,13,13,0,0.0,7,4,2,1,33.3
Getafe,2,38,38,3420,38.0,33,0.87,127,96,75.6,15,10,13,0,0.0,4,2,1,1,33.3
Girona,2,38,38,3420,38.0,59,1.55,173,121,68.2,14,9,15,0,0.0,5,4,0,1,0.0
La Coruña,5,38,38,3419,38.0,76,2.00,179,110,59.8,6,11,21,0,0.0,5,4,1,0,20.0
Las Palmas,2,38,38,3420,38.0,74,1.95,213,145,67.6,5,7,26,0,0.0,5,5,0,0,0.0
Leganés,3,38,38,3420,38.0,51,1.34,161,116,72.0,12,7,19,0,0.0,7,6,1,0,14.3
Levante,3,38,38,3420,38.0,58,1.53,178,128,70.2,11,13,14,0,0.0,6,5,0,1,0.0
Málaga,2,38,38,3420,38.0,61,1.61,162,107,66.0,5,5,28,,,7,6,1,0,14.3
Real Madrid,3,38,38,3420,38.0,44,1.16,148,108,71.6,22,10,6,0,0.0,4,2,2,0,50.0
Real Sociedad,3,38,38,3419,38.0,59,1.55,141,89,62.4,14,7,17,0,0.0,8,6,2,0,25.0
Sevilla,2,38,38,3420,38.0,58,1.53,147,95,63.9,17,7,14,0,0.0,8,5,1,2,16.7
Valencia,2,38,38,3420,38.0,38,1.00,172,137,79.7,22,7,9,0,0.0,5,3,2,0,40.0
Villarreal,3,38,38,3420,38.0,50,1.32,151,106,70.2,18,7,13,0,0.0,7,5,2,0,28.6
