Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,30,25.5,40.3,38,418,3420,38.0,40,32,39,1,3,106,8,1.05,0.84,1.89,1.03,1.87
Athletic Club,27,26.7,49.6,38,418,3420,38.0,39,24,33,6,8,93,0,1.03,0.63,1.66,0.87,1.50
Atlético Madrid,26,26.6,47.7,38,418,3420,38.0,57,40,53,4,5,93,8,1.50,1.05,2.55,1.39,2.45
Barcelona,25,27.7,62.7,38,418,3420,38.0,96,58,93,3,5,66,2,2.53,1.53,4.05,2.45,3.97
Betis,29,27.1,57.1,38,418,3420,38.0,56,38,54,2,3,91,4,1.47,1.00,2.47,1.42,2.42
Celta Vigo,22,25.7,55.6,38,418,3420,38.0,57,41,55,2,3,86,1,1.50,1.08,2.58,1.45,2.53
Eibar,26,27.4,52.1,38,418,3420,38.0,43,33,41,2,3,84,5,1.13,0.87,2.00,1.08,1.95
Espanyol,25,26.8,47.1,38,418,3420,38.0,33,25,31,2,3,87,2,0.87,0.66,1.53,0.82,1.47
Getafe,32,28.2,40.3,38,418,3420,38.0,41,24,36,5,12,130,9,1.08,0.63,1.71,0.95,1.58
Girona,25,26.3,46.6,38,418,3420,38.0,50,24,44,6,8,104,0,1.32,0.63,1.95,1.16,1.79
La Coruña,32,28.2,46.4,38,418,3420,38.0,38,32,35,3,5,98,3,1.00,0.84,1.84,0.92,1.76
Las Palmas,36,27.0,54.3,38,418,3420,38.0,24,21,18,6,8,87,4,0.63,0.55,1.18,0.47,1.03
Leganés,28,27.8,43.1,38,418,3420,38.0,32,19,30,2,3,102,7,0.84,0.50,1.34,0.79,1.29
Levante,33,25.7,42.8,38,418,3420,38.0,43,29,38,5,5,107,8,1.13,0.76,1.89,1.00,1.76
Málaga,36,27.2,44.2,38,418,3420,38.0,23,17,19,4,6,96,13,0.61,0.45,1.05,0.50,0.95
Real Madrid,24,27.1,60.3,38,418,3420,38.0,91,63,83,8,10,65,6,2.39,1.66,4.05,2.18,3.84
Real Sociedad,27,25.9,56.4,38,418,3420,38.0,64,48,60,4,5,61,9,1.68,1.26,2.95,1.58,2.84
Sevilla,31,27.1,54.3,38,418,3420,38.0,48,36,44,4,5,97,5,1.26,0.95,2.21,1.16,2.11
Valencia,25,24.8,48.4,38,418,3420,38.0,63,43,55,8,8,103,9,1.66,1.13,2.79,1.45,2.58
Villarreal,32,26.6,50.5,38,418,3420,38.0,56,39,52,4,5,113,10,1.47,1.03,2.50,1.37,2.39
