Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,28,27.5,,38,418,,,43,28,35,8,8,0,0,1.13,0.74,1.87,0.92,1.66
Athletic Club,24,26.4,,38,418,,,65,46,61,4,7,0,0,1.71,1.21,2.92,1.61,2.82
Atlético Madrid,25,26.9,,38,418,,,74,55,68,6,10,0,0,1.95,1.45,3.39,1.79,3.24
Barcelona,25,27.4,,38,418,,,96,71,85,11,13,0,0,2.53,1.87,4.39,2.24,4.11
Betis,32,26.6,,38,418,,,35,21,34,1,4,0,0,0.92,0.55,1.47,0.89,1.45
Celta Vigo,26,25.0,,38,418,,,47,32,45,2,3,0,0,1.24,0.84,2.08,1.18,2.03
Elche,28,27.2,,38,418,,,30,22,26,4,6,0,0,0.79,0.58,1.37,0.68,1.26
Espanyol,24,26.7,,38,418,,,40,30,35,5,6,0,0,1.05,0.79,1.84,0.92,1.71
Getafe,28,27.7,,38,418,,,34,30,32,2,3,0,0,0.89,0.79,1.68,0.84,1.63
Granada,26,26.3,,38,418,,,31,22,28,3,6,0,0,0.82,0.58,1.39,0.74,1.32
Levante,28,28.9,,38,418,,,33,19,29,4,8,0,0,0.87,0.50,1.37,0.76,1.26
Málaga,28,27.0,,38,418,,,39,30,37,2,3,0,0,1.03,0.79,1.82,0.97,1.76
Osasuna,25,28.0,,38,418,,,31,15,31,0,0,0,0,0.82,0.39,1.21,0.82,1.21
Rayo Vallecano,30,25.8,,38,418,,,45,30,38,7,9,0,0,1.18,0.79,1.97,1.00,1.79
Real Madrid,25,26.4,,38,418,,,103,78,97,6,6,0,0,2.71,2.05,4.76,2.55,4.61
Real Sociedad,27,25.8,,38,418,,,59,44,57,2,2,0,0,1.55,1.16,2.71,1.50,2.66
Sevilla,31,25.9,,38,418,,,68,47,61,7,10,0,0,1.79,1.24,3.03,1.61,2.84
Valencia,31,26.1,,38,418,,,51,35,49,2,3,0,0,1.34,0.92,2.26,1.29,2.21
Valladolid,25,27.7,,38,418,,,37,28,36,1,2,0,0,0.97,0.74,1.71,0.95,1.68
Villarreal,25,25.2,,38,418,,,58,42,53,5,6,0,0,1.53,1.11,2.63,1.39,2.50
