Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,23,29.1,,38,418,,,38,26,35,3,7,110,8,1.00,0.68,1.68,0.92,1.61
Athletic Club,26,25.8,,38,418,,,62,42,56,6,7,102,2,1.63,1.11,2.74,1.47,2.58
Atlético Madrid,24,27.2,,38,418,,,49,37,44,5,9,132,10,1.29,0.97,2.26,1.16,2.13
Barcelona,28,26.1,,38,419,,,61,47,55,6,7,96,8,1.61,1.24,2.84,1.45,2.68
Betis,26,25.6,,38,410,,,52,38,47,5,6,109,8,1.37,1.00,2.37,1.24,2.24
Celta Vigo,28,27.8,,38,418,,,44,32,41,3,8,101,6,1.16,0.84,2.00,1.08,1.92
Espanyol,30,25.7,,38,412,,,47,32,40,7,8,107,9,1.24,0.84,2.08,1.05,1.89
La Coruña,24,28.7,,38,418,,,67,50,62,5,6,72,4,1.76,1.32,3.08,1.63,2.95
Málaga,31,27.8,,38,417,,,43,30,39,4,6,122,11,1.13,0.79,1.92,1.03,1.82
Mallorca,26,26.5,,38,418,,,47,30,39,8,8,106,7,1.24,0.79,2.03,1.03,1.82
Osasuna,26,26.6,,38,415,,,39,26,33,6,6,108,7,1.03,0.68,1.71,0.87,1.55
Racing Sant,31,25.8,,38,417,,,53,31,48,5,7,105,7,1.39,0.82,2.21,1.26,2.08
Rayo Vallecano,27,26.9,,38,418,,,30,19,23,7,7,107,7,0.79,0.50,1.29,0.61,1.11
Real Madrid,23,26.9,,38,418,,,86,62,80,6,8,69,4,2.26,1.63,3.89,2.11,3.74
Real Sociedad,22,27.1,,38,418,,,70,49,65,5,6,70,3,1.84,1.29,3.13,1.71,3.00
Recreativo,28,26.8,,38,427,,,35,25,33,2,5,97,8,0.92,0.66,1.58,0.87,1.53
Sevilla,28,26.6,,38,418,,,34,24,28,6,6,112,9,0.89,0.63,1.53,0.74,1.37
Valencia,30,26.7,,38,418,,,53,34,48,5,9,110,9,1.39,0.89,2.29,1.26,2.16
Valladolid,25,25.3,,38,417,,,35,25,32,3,4,88,7,0.92,0.66,1.58,0.84,1.50
Villarreal,30,25.8,,38,418,,,43,26,36,7,8,106,7,1.13,0.68,1.82,0.95,1.63
