Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3330,,68,1.84,205,137,66.8,8,11,19,11,28.9,,,,,
Athletic Club,2,38,38,3420,,61,1.61,185,124,67.0,15,10,13,6,15.8,,,,,
Atlético Madrid,3,38,38,3420,,56,1.47,195,139,71.3,12,11,15,9,23.7,,,,,
Barcelona,3,38,38,3420,,47,1.24,170,123,72.4,15,11,12,13,34.2,,,,,
Betis,1,38,38,3420,,53,1.39,174,121,69.5,14,12,12,7,18.4,,,,,
Celta Vigo,3,38,38,3420,,36,0.95,151,115,76.2,17,10,11,16,42.1,,,,,
Espanyol,3,38,38,3420,,54,1.42,185,131,70.8,10,13,15,11,28.9,,,,,
La Coruña,3,38,38,3420,,47,1.24,173,126,72.8,22,6,10,12,31.6,,,,,
Málaga,3,38,38,3421,,49,1.29,179,130,72.6,11,13,14,13,34.2,,,,,
Mallorca,2,38,38,3420,,56,1.47,201,145,72.1,14,10,14,8,21.1,,,,,
Osasuna,2,38,38,3420,,48,1.26,181,133,73.5,12,11,15,10,26.3,,,,,
Racing Sant,3,38,38,3420,,64,1.68,188,124,66.0,13,5,20,10,26.3,,,,,
Rayo Vallecano,3,38,38,3420,,62,1.63,202,140,69.3,7,11,20,9,23.7,,,,,
Real Madrid,1,38,38,3420,,42,1.11,173,131,75.7,22,12,4,10,26.3,,,,,
Real Sociedad,2,38,38,3420,,45,1.18,152,107,70.4,22,10,6,12,31.6,,,,,
Recreativo,3,38,38,3418,,60,1.58,195,135,69.2,8,12,18,9,23.7,,,,,
Sevilla,2,38,38,3420,,39,1.03,170,131,77.1,13,11,14,14,36.8,,,,,
Valencia,2,38,38,3419,,35,0.92,146,111,76.0,17,9,12,15,39.5,,,,,
Valladolid,1,38,38,3420,,40,1.05,181,141,77.9,12,10,16,12,31.6,,,,,
Villarreal,3,38,38,3420,,53,1.39,182,129,70.9,11,12,15,9,23.7,,,,,
