Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Alavés,32,27.6,41.1,38,418,3420,38.0,34,20,28,6,6,111,7,0.89,0.53,1.42,0.74,1.26,37.0,32.5,23.5,56.1,0.97,0.62,1.59,0.86,1.48
Athletic Club,26,26.7,48.7,38,418,3420,38.0,40,23,32,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31.0,23.6,54.6,1.01,0.62,1.64,0.81,1.44
Atlético Madrid,30,26.1,48.5,38,418,3420,38.0,50,35,44,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,80.9,1.38,0.90,2.29,1.22,2.13
Barcelona,28,27.8,66.9,38,418,3420,38.0,84,62,78,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.4,61.9,48.3,110.2,1.75,1.27,3.02,1.63,2.90
Betis,27,27.5,57.1,38,418,3420,38.0,48,35,42,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,73.7,1.24,0.85,2.10,1.09,1.94
Celta Vigo,30,25.8,51.9,38,418,3420,38.0,37,26,31,6,9,104,6,0.97,0.68,1.66,0.82,1.50,37.8,31.1,25.0,56.0,1.00,0.66,1.65,0.82,1.47
Eibar,26,29.3,46.3,38,418,3420,38.0,38,24,31,7,10,92,3,1.00,0.63,1.63,0.82,1.45,41.3,33.8,23.7,57.4,1.09,0.62,1.71,0.89,1.51
Espanyol,31,27.7,47.3,38,418,3420,38.0,25,17,21,4,4,107,9,0.66,0.45,1.11,0.55,1.00,33.0,30.1,22.7,52.8,0.87,0.60,1.47,0.79,1.39
Getafe,30,27.5,44.6,38,418,3420,38.0,42,31,36,6,7,135,5,1.11,0.82,1.92,0.95,1.76,37.9,32.6,25.6,58.2,1.00,0.67,1.67,0.86,1.53
Granada,27,26.8,43.7,38,418,3420,38.0,50,34,45,5,5,109,1,1.32,0.89,2.21,1.18,2.08,41.0,37.2,24.9,62.1,1.08,0.65,1.73,0.98,1.63
Leganés,29,26.9,43.8,38,418,3420,38.0,30,19,27,3,5,127,4,0.79,0.50,1.29,0.71,1.21,37.3,33.5,23.8,57.3,0.98,0.63,1.61,0.88,1.51
Levante,29,27.7,48.4,38,418,3420,38.0,45,28,40,5,5,79,5,1.18,0.74,1.92,1.05,1.79,41.9,38.1,29.7,67.8,1.10,0.78,1.89,1.00,1.79
Mallorca,32,26.8,44.6,38,418,3420,38.0,39,21,31,8,10,93,5,1.03,0.55,1.58,0.82,1.37,39.2,31.7,22.2,53.9,1.03,0.58,1.61,0.83,1.42
Osasuna,31,27.7,47.5,38,418,3420,38.0,46,26,38,8,8,110,6,1.21,0.68,1.89,1.00,1.68,44.5,38.4,29.0,67.4,1.17,0.76,1.93,1.01,1.77
Real Madrid,26,27.6,59.1,38,418,3420,38.0,70,52,59,11,11,82,4,1.84,1.37,3.21,1.55,2.92,63.5,55.2,44.2,99.4,1.67,1.16,2.84,1.45,2.62
Real Sociedad,27,24.8,56.6,38,418,3420,38.0,53,38,49,4,5,79,2,1.39,1.00,2.39,1.29,2.29,45.2,41.5,32.6,74.1,1.19,0.86,2.05,1.09,1.95
Sevilla,26,27.7,58.4,38,418,3420,38.0,53,35,46,7,7,97,1,1.39,0.92,2.32,1.21,2.13,47.1,42.0,32.5,74.4,1.24,0.85,2.09,1.10,1.96
Valencia,28,27.0,48.9,38,418,3420,38.0,44,34,39,5,8,80,8,1.16,0.89,2.05,1.03,1.92,40.3,34.3,29.1,63.4,1.06,0.77,1.83,0.90,1.67
Valladolid,30,27.1,44.3,38,418,3420,38.0,31,19,28,3,6,84,0,0.82,0.50,1.32,0.74,1.24,35.5,30.9,22.4,53.3,0.93,0.59,1.52,0.81,1.40
Villarreal,25,27.6,53.2,38,418,3420,38.0,62,40,52,10,11,78,1,1.63,1.05,2.68,1.37,2.42,57.0,48.7,37.0,85.7,1.50,0.97,2.48,1.28,2.26
