Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,,44,1.16,188,144,76.6,17,3,18,13,34.2,,,,,
Athletic Club,2,38,38,3420,,66,1.74,225,159,70.7,14,11,13,3,7.9,,,,,
Barcelona,2,38,38,3420,,37,0.97,169,132,78.1,18,10,10,14,36.8,,,,,
Betis,2,38,38,3420,,34,0.89,151,117,77.5,15,14,9,17,44.7,,,,,
Celta Vigo,2,38,38,3420,,46,1.21,159,113,71.1,16,12,10,10,26.3,,,,,
Espanyol,2,38,38,3420,,56,1.47,216,160,74.1,13,8,17,8,21.1,,,,,
La Coruña,2,38,38,3420,,41,1.08,156,115,73.7,20,8,10,13,34.2,,,,,
Las Palmas,3,38,38,3420,,50,1.32,201,151,75.1,9,13,16,8,21.1,,,,,
Málaga,2,38,38,3420,,44,1.16,178,134,75.3,13,14,11,12,31.6,,,,,
Mallorca,3,38,38,3420,,52,1.37,201,149,74.1,11,10,17,11,28.9,,,,,
Osasuna,2,38,38,3420,,49,1.29,186,137,73.7,10,12,16,13,34.2,,,,,
Rayo Vallecano,2,38,38,3420,,52,1.37,188,136,72.3,13,10,15,10,26.3,,,,,
Real Madrid,3,38,38,3420,,44,1.16,175,131,74.9,19,9,10,11,28.9,,,,,
Real Sociedad,2,38,38,3420,,54,1.42,193,139,72.0,13,8,17,10,26.3,,,,,
Sevilla,2,38,38,3420,,40,1.05,186,146,78.5,14,11,13,12,31.6,,,,,
Tenerife,2,38,38,3420,,58,1.53,226,168,74.3,10,8,20,9,23.7,,,,,
Valencia,2,38,38,3420,,27,0.71,134,107,79.9,21,12,5,16,42.1,,,,,
Valladolid,1,38,38,3420,,58,1.53,214,156,72.9,13,9,16,9,23.7,,,,,
Villarreal,1,38,38,3420,,55,1.45,218,163,74.8,11,10,17,7,18.4,,,,,
Zaragoza,2,38,38,3420,,54,1.42,206,152,73.8,9,10,19,7,18.4,,,,,
