Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Athletic Club,22,24.4,,38,418,,,49,33,48,1,2,104,8,1.29,0.87,2.16,1.26,2.13
Atlético Madrid,24,25.1,,38,418,,,51,32,46,5,6,127,4,1.34,0.84,2.18,1.21,2.05
Barcelona,29,26.6,,38,418,,,112,69,102,10,11,74,4,2.95,1.82,4.76,2.68,4.50
Betis,31,27.4,,38,418,,,47,25,44,3,3,101,7,1.24,0.66,1.89,1.16,1.82
Espanyol,29,24.2,,38,418,,,45,32,44,1,1,130,6,1.18,0.84,2.03,1.16,2.00
Getafe,29,27.6,,38,418,,,38,20,35,3,3,127,8,1.00,0.53,1.53,0.92,1.45
Granada,25,26.5,,38,418,,,35,18,31,4,4,107,10,0.92,0.47,1.39,0.82,1.29
Levante,27,30.4,,38,418,,,54,30,46,8,8,117,4,1.42,0.79,2.21,1.21,2.00
Málaga,26,27.3,,38,418,,,51,26,50,1,2,73,7,1.34,0.68,2.03,1.32,2.00
Mallorca,28,26.4,,38,418,,,38,25,33,5,5,118,6,1.00,0.66,1.66,0.87,1.53
Osasuna,28,27.8,,38,418,,,43,30,42,1,2,98,8,1.13,0.79,1.92,1.11,1.89
Racing Sant,32,25.6,,38,418,,,27,21,23,4,4,115,8,0.71,0.55,1.26,0.61,1.16
Rayo Vallecano,32,26.8,,38,418,,,51,26,46,5,6,125,3,1.34,0.68,2.03,1.21,1.89
Real Madrid,25,26.1,,38,418,,,120,85,108,12,13,90,5,3.16,2.24,5.39,2.84,5.08
Real Sociedad,24,25.0,,38,418,,,45,27,45,0,1,78,8,1.18,0.71,1.89,1.18,1.89
Sevilla,28,26.9,,38,418,,,47,32,46,1,4,109,8,1.24,0.84,2.08,1.21,2.05
Sporting Gijón,30,26.4,,38,418,,,41,21,38,3,3,117,5,1.08,0.55,1.63,1.00,1.55
Valencia,26,25.9,,38,418,,,55,34,52,3,4,128,7,1.45,0.89,2.34,1.37,2.26
Villarreal,28,26.6,,38,418,,,38,22,32,6,10,97,5,1.00,0.58,1.58,0.84,1.42
Zaragoza,28,27.1,,38,418,,,35,20,31,4,6,119,9,0.92,0.53,1.45,0.82,1.34
