Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Almería,24,25.8,,38,418,,,45,20,40,5,5,100,11,1.18,0.53,1.71,1.05,1.58
Athletic Club,30,25.4,,38,418,,,46,21,39,7,9,107,13,1.21,0.55,1.76,1.03,1.58
Atlético Madrid,22,27.4,,38,418,,,78,39,72,6,7,108,6,2.05,1.03,3.08,1.89,2.92
Barcelona,29,26.3,,38,418,,,102,66,97,5,7,72,6,2.68,1.74,4.42,2.55,4.29
Betis,29,27.3,,38,418,,,51,26,48,3,4,96,8,1.34,0.68,2.03,1.26,1.95
Espanyol,26,26.1,,38,418,,,46,21,40,6,8,112,6,1.21,0.55,1.76,1.05,1.61
Getafe,25,26.6,,38,418,,,49,22,43,6,11,120,7,1.29,0.58,1.87,1.13,1.71
La Coruña,25,26.7,,38,418,,,47,24,40,7,8,87,4,1.24,0.63,1.87,1.05,1.68
Málaga,25,27.0,,38,418,,,53,26,44,9,10,101,7,1.39,0.68,2.08,1.16,1.84
Mallorca,22,27.4,,38,418,,,52,30,51,1,3,113,7,1.37,0.79,2.16,1.34,2.13
Numancia,26,28.5,,38,418,,,38,12,32,6,9,100,8,1.00,0.32,1.32,0.84,1.16
Osasuna,27,26.5,,38,418,,,40,26,38,2,4,101,11,1.05,0.68,1.74,1.00,1.68
Racing Sant,29,26.3,,38,418,,,47,27,43,4,6,128,9,1.24,0.71,1.95,1.13,1.84
Real Madrid,28,25.9,,38,417,,,82,39,79,3,4,110,9,2.16,1.03,3.18,2.08,3.11
Recreativo,27,26.1,,38,418,,,34,19,30,4,4,90,6,0.89,0.50,1.39,0.79,1.29
Sevilla,29,27.1,,38,418,,,53,29,51,2,3,94,8,1.39,0.76,2.16,1.34,2.11
Sporting Gijón,26,27.0,,38,418,,,46,23,40,6,7,120,5,1.21,0.61,1.82,1.05,1.66
Valencia,26,26.4,,38,418,,,68,31,59,9,10,112,6,1.79,0.82,2.61,1.55,2.37
Valladolid,25,28.1,,38,418,,,44,21,41,3,3,78,10,1.16,0.55,1.71,1.08,1.63
Villarreal,26,27.7,,38,418,,,61,36,58,3,5,97,4,1.61,0.95,2.55,1.53,2.47
