Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Almería,2,38,38,3420,,61,1.61,193,132,68.4,13,7,18,5,13.2,,,,,
Athletic Club,2,38,38,3420,,62,1.63,172,110,64.0,12,8,18,7,18.4,,,,,
Atlético Madrid,2,38,38,3420,,57,1.50,173,116,67.1,20,7,11,10,26.3,,,,,
Barcelona,3,38,38,3420,,35,0.92,125,90,72.0,27,6,5,15,39.5,,,,,
Betis,2,38,38,3419,,58,1.53,194,136,70.1,10,12,16,7,18.4,,,,,
Espanyol,2,38,38,3419,,49,1.29,180,131,72.8,12,11,15,12,31.6,,,,,
Getafe,4,38,38,3419,,53,1.40,165,112,67.9,10,12,16,6,15.8,,,,,
La Coruña,2,38,38,3413,,47,1.24,174,127,73.0,16,10,12,14,36.8,,,,,
Málaga,2,38,38,3420,,59,1.55,212,153,72.2,15,10,13,8,21.1,,,,,
Mallorca,3,38,38,3421,,60,1.58,175,115,65.7,14,9,15,10,26.3,,,,,
Numancia,2,38,38,3420,,69,1.82,198,129,65.2,10,5,23,7,18.4,,,,,
Osasuna,2,38,38,3420,,47,1.24,171,124,72.5,10,13,15,12,31.6,,,,,
Racing Sant,2,38,38,3420,,48,1.26,170,122,71.8,12,10,16,10,26.3,,,,,
Real Madrid,1,38,38,3420,,52,1.37,175,123,70.3,25,3,10,14,36.8,,,,,
Recreativo,1,38,38,3420,,57,1.50,176,119,67.6,8,9,21,5,13.2,,,,,
Sevilla,2,38,38,3420,,39,1.03,152,113,74.3,21,7,10,18,47.4,,,,,
Sporting Gijón,3,38,38,3421,,79,2.08,211,132,62.6,14,1,23,5,13.2,,,,,
Valencia,3,38,38,3420,,54,1.42,176,122,69.3,18,8,12,10,26.3,,,,,
Valladolid,2,38,38,3420,,58,1.53,185,127,68.6,12,7,19,9,23.7,,,,,
Villarreal,1,38,38,3420,,54,1.42,175,121,69.1,18,11,9,8,21.1,,,,,
