Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Albacete,30,26.1,,38,418,,,34,26,31,3,3,94,8,0.89,0.68,1.58,0.82,1.50
Athletic Club,25,25.7,,38,416,,,52,33,49,3,5,94,6,1.37,0.87,2.24,1.29,2.16
Atlético Madrid,29,26.5,,38,413,,,51,36,46,5,6,116,7,1.34,0.95,2.29,1.21,2.16
Barcelona,27,26.0,,38,414,,,61,42,59,2,3,95,13,1.61,1.11,2.71,1.55,2.66
Betis,26,26.3,,38,417,,,46,30,41,5,6,91,6,1.21,0.79,2.00,1.08,1.87
Celta Vigo,29,28.3,,38,417,,,48,34,43,5,7,105,11,1.26,0.89,2.16,1.13,2.03
Espanyol,31,26.7,,38,414,,,47,31,41,6,6,125,15,1.24,0.82,2.05,1.08,1.89
La Coruña,25,28.4,,38,418,,,55,41,53,2,3,87,6,1.45,1.08,2.53,1.39,2.47
Málaga,24,26.5,,38,418,,,50,32,45,5,6,110,3,1.32,0.84,2.16,1.18,2.03
Mallorca,26,26.7,,38,418,,,54,33,47,7,9,89,5,1.42,0.87,2.29,1.24,2.11
Osasuna,25,25.9,,38,418,,,35,25,31,4,5,104,10,0.92,0.66,1.58,0.82,1.47
Racing Sant,23,25.7,,38,418,,,46,27,41,5,8,117,5,1.21,0.71,1.92,1.08,1.79
Real Madrid,23,26.6,,38,418,,,70,49,64,6,7,108,6,1.84,1.29,3.13,1.68,2.97
Real Murcia,29,26.7,,38,416,,,29,15,25,4,4,85,8,0.76,0.39,1.16,0.66,1.05
Real Sociedad,24,28.7,,38,417,,,47,28,42,5,8,98,3,1.24,0.74,1.97,1.11,1.84
Sevilla,32,26.7,,38,418,,,55,31,46,9,9,123,8,1.45,0.82,2.26,1.21,2.03
Valencia,23,27.3,,38,418,,,69,51,65,4,7,96,3,1.82,1.34,3.16,1.71,3.05
Valladolid,25,26.8,,38,416,,,46,27,41,5,6,115,10,1.21,0.71,1.92,1.08,1.79
Villarreal,22,25.7,,38,412,,,45,33,41,4,4,118,7,1.18,0.87,2.05,1.08,1.95
Zaragoza,29,25.2,,38,417,,,43,31,39,4,4,101,7,1.13,0.82,1.95,1.03,1.84
