Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Albacete,3,38,38,3420,,48,1.26,240,192,80.0,13,8,17,11,28.9,,,,,
Athletic Club,2,38,38,3420,,49,1.29,178,129,72.5,15,11,12,9,23.7,,,,,
Atlético Madrid,3,38,38,3420,,53,1.39,188,135,71.8,15,10,13,11,28.9,,,,,
Barcelona,3,38,38,3420,,39,1.03,179,140,78.2,21,9,8,13,34.2,,,,,
Betis,3,38,38,3420,,43,1.13,190,147,77.4,13,13,12,10,26.3,,,,,
Celta Vigo,2,38,38,3420,,68,1.79,204,136,66.7,9,12,17,8,21.1,,,,,
Espanyol,3,38,38,3420,,64,1.68,246,182,74.0,13,4,21,8,21.1,,,,,
La Coruña,3,38,38,3420,,34,0.89,145,111,76.6,21,8,9,17,44.7,,,,,
Málaga,2,38,38,3420,,55,1.45,195,140,71.8,15,6,17,8,21.1,,,,,
Mallorca,3,38,38,3419,,66,1.74,194,128,66.0,15,6,17,7,18.4,,,,,
Osasuna,2,38,38,3420,,37,0.97,161,124,77.0,11,15,12,9,23.7,,,,,
Racing Sant,2,38,38,3420,,63,1.66,196,133,67.9,11,10,17,7,18.4,,,,,
Real Madrid,2,38,38,3420,,54,1.42,176,122,69.3,21,7,10,5,13.2,,,,,
Real Murcia,3,38,38,3420,,57,1.50,215,158,73.5,5,11,22,5,13.2,,,,,
Real Sociedad,2,38,38,3420,,53,1.39,162,109,67.3,11,13,14,7,18.4,,,,,
Sevilla,2,38,38,3420,,45,1.18,162,117,72.2,15,10,13,11,28.9,,,,,
Valencia,2,38,38,3420,,27,0.71,142,115,81.0,23,8,7,20,52.6,,,,,
Valladolid,2,38,38,3420,,56,1.47,218,162,74.3,10,11,17,9,23.7,,,,,
Villarreal,1,38,38,3420,,49,1.29,194,145,74.7,15,9,14,10,26.3,,,,,
Zaragoza,3,38,38,3790,,55,1.31,203,148,72.9,13,9,16,9,23.7,,,,,
